State,Result,Expansions,Time,Difficulty,Color
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,78,0.019840478897094727,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,180,0.05158376693725586,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",23,155,0.05654430389404297,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, -1, -1, -1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",35,208,0.07291221618652344,3,-1
"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, -1, -1, -1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, -1]",11,176,0.06844687461853027,3,-1
"[0, 0, 0, -1, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 0, -1]",5,166,0.06798028945922852,3,-1
"[0, 0, 0, -1, -1, -1, 0, 0, 0, 1, 0, -1, 0, 0, 1, 1, 0, -1, 0, 0, -1, 1, -1, -1, 0, 0, 0, 1, 1, -1, 0, 0, 0, 1, 0, -1]",7,211,0.0863039493560791,3,-1
"[0, 0, 0, -1, -1, -1, 0, -1, 0, 1, 0, -1, 0, 0, -1, 1, 0, -1, 0, 0, 1, -1, -1, -1, 0, 1, 0, 1, -1, -1, 0, 0, 0, 1, 0, -1]",26,121,0.05257558822631836,3,-1
"[0, 0, 0, -1, -1, -1, 0, -1, 0, 1, 0, -1, 0, 1, 1, 1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, 0, 0, 0, 1, 0, -1]",8,215,0.10564827919006348,3,-1
"[0, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, -1, 0, 1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, 0, 0, 0, 1, 0, -1]",0,174,0.08729410171508789,3,-1
"[-1, 1, 0, -1, -1, -1, 1, 1, 1, 1, 0, -1, 0, 1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, 0, 0, 0, 1, 0, -1]",2,136,0.07688069343566895,3,-1
"[-1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 0, -1, 0, 1, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, 0, 0, 0, 1, 0, -1]",12,148,0.09175896644592285,3,-1
"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, -1, -1, 1, -1, -1, -1, 0, 1, -1, -1, -1, -1, 0, 1, 1, -1, -1, -1, 0, 0, 0, 1, 0, -1]",10,43,0.03722381591796875,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,78,0.019840002059936523,3,-1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",8,164,0.0451352596282959,3,-1
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,376,0.1264803409576416,3,-1
"[0, 0, -1, 0, 0, 0, 0, 1, -1, 1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,552,0.20437932014465332,3,-1
"[-1, 0, -1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",26,453,0.19393515586853027,3,-1
"[-1, 0, -1, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, -1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",33,571,0.26833653450012207,3,-1
"[-1, 1, -1, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 1, -1, -1, 1, 1, 0, 0, 1, -1, 0, 0, 0, 1, 0, -1, 0, 0]",3,690,0.33780431747436523,3,-1
"[-1, 1, -1, -1, 0, 0, 0, -1, 1, 1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, 0, 1, -1, 0, 0, 0, 1, 0, -1, 0, 0]",11,878,0.481151819229126,3,-1
"[-1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, 1, 0, 0, 1, -1, 1, 1, 1, 0, 0, 1, -1, 0, 0, 0, 1, 0, -1, 0, 0]",12,260,0.15624141693115234,3,-1
"[-1, 1, -1, -1, 0, 0, 0, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 0, 0, -1, -1, 1, 1, 1, 0, 0, -1, -1, 0, 0, 0, 1, 0, -1, 0, 0]",28,182,0.11259174346923828,3,-1
"[-1, 1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, 0, 0, 1, 1, -1, -1, 1, 0, 1, -1, -1, -1, 0, 0, 1, 0, -1, 0, 0]",30,100,0.06646299362182617,3,-1
"[-1, 1, 1, 1, 1, 0, 0, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 0, 0, 1, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, 1, 0, -1, 0, 0]",5,112,0.08533954620361328,3,-1
"[-1, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, 1, 1, 1, 0, 1, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, 1, 0, -1, 0, 0]",24,105,0.07886481285095215,3,-1
"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 0, -1, 1, 0, -1, 0, 0]",6,34,0.03472018241882324,3,-1
